car,move
A,2
B,0
C,0
D,-4
E,5
F,-2
G,-3
H,0
I,-3
J,-2
K,-5
L,2
M,-2
N,0
O,0
P,-4
Q,-2
R,0
S,-5
T,-7
U,3
V,0
W,-1
X,1
