car,move
A,-6
B,-2
C,2
D,0
E,2
F,3
G,1
H,1
I,-1
J,0
K,0
L,0
M,1
N,4
O,1
P,1
Q,1
R,-1
S,2
T,-5
U,4
V,0
W,3
Y,-1
AA,-2
AB,0
AC,-3
AD,0
AE,-1
AF,0
AG,0
AH,2
AI,-3
AJ,0
AK,-1
AL,-1
AM,0
AN,0
AO,0
AP,0
AQ,0
AR,-1
AS,0
X,8
