car,move
A,2
B,5
C,-1
D,0
E,0
F,2
G,2
H,-2
I,-2
J,2
K,4
L,-2
M,0
N,-1
O,-2
P,1
Q,-1
R,0
S,1
T,0
U,2
V,-4
W,-1
Y,0
Z,0
X,7
