car,move
A,0
B,0
C,-1
D,4
E,4
F,0
G,1
H,-2
I,-1
J,0
K,-5
L,1
M,2
N,-4
O,0
P,0
Q,-1
R,0
S,-3
T,-1
U,-1
X,6
