algorithm,visited boards,number of steps,best solution
Random,13698.381,13698.381,181
BreadthFirst,651,35,35
DepthFirst,330,115,115
Blocking,570,35,35
Distance,542,35,35
BlockingDistance,438,35,35
DepthFirstPruning,724,106,106
