algorithm,visited boards,number of steps,best solution
Random,377.44,377.44,49
BreadthFirst,8753,83,83
DepthFirst,5356,1382,1382
Blocking,8741,83,83
Distance,8777,83,83
BlockingDistance,8689,83,83
DepthFirstPruning,8820,1358,1358
