algorithm,visited boards,number of steps,best solution
Random,254.28,254.28,20
BreadthFirst,4224,29,29
DepthFirst,1899,477,477
Blocking,4252,29,29
Distance,4059,29,29
BlockingDistance,3595,29,29
DepthFirstPruning,4367,445,445
